,Country,gdp_2000,gdp_2015,growth_rate
0,Chile,7.7860932152,24.2518,2.114758496938576
1,China,121.135,1106.47,8.134189127832583
2,Germany,194.995,337.56100000000004,0.7311264391394653
3,Mexico,68.3648,115.226,0.6854580134806215
4,USA,1030.0,1810.0,0.7572815533980582
5,Zimbabwe,0.66899576,1.6304667807,1.4371855222221435
