,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10
tell,0.0,0.0,0.0,2.2992829841302607,2.2992829841302607,0.0,0.0,0.0,0.0,0.0
ten,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
tepid,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throng,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
thursday,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
ticket,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
total,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
transport,8.114244276715276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transporter,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travel,2.2992829841302607,0.0,0.0,0.0,0.0,2.2992829841302607,0.0,0.0,0.0,0.0
tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2992829841302607,2.2992829841302607,0.0
two,0.0,0.0,2.2992829841302607,0.0,0.0,2.2992829841302607,0.0,0.0,0.0,0.0
unable,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
unhappy,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
use,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
vehicle,2.01160091167848,0.0,0.0,2.01160091167848,0.0,0.0,2.01160091167848,0.0,0.0,0.0
vice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
visible,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
wall,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whole,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wholesale,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
within,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
witness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
worker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
world,0.0,0.0,0.0,0.0,0.0,8.114244276715276,0.0,0.0,0.0,0.0
would,0.0,0.0,0.0,2.2992829841302607,0.0,0.0,0.0,0.0,2.2992829841302607,0.0
year,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505
yuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505
